단지코드,단지명,시도,시군구,읍면동,법정동코드
A10027118,경희궁자이2단지 아파트,서울특별시,종로구,홍파동,1111017900
A10027555,방학동효성하이타운,서울특별시,도봉구,방학동,1132010600
A13470103,길동라인,서울특별시,강동구,길동,1174010500
A10026710,프라비다2,서울특별시,관악구,봉천동,1162010100
A10027297,대성유니드아파트,서울특별시,중랑구,신내동,1126010600
A10027303,목동효성아파트,서울특별시,양천구,목동,1147010200
A10027188,금천롯데캐슬골드파크1차아파트,서울특별시,금천구,독산동,1154510200
A10027157,서울가좌행복주택 ,서울특별시,마포구,성산동,1144012500
A10026792,백운한비치2차,서울특별시,금천구,시흥동,1154510300
A10027433,마곡엠밸리8단지,서울특별시,강서구,마곡동,1150010500
A10026660,노원에너지제로주택,서울특별시,노원구,하계동,1135010400
A10027533,비콘드림힐아파트,서울특별시,노원구,상계동,1135010500
A10027456,중화동양엔파트 주상복합,서울특별시,중랑구,중화동,1126010300
A10027632,송파 와이즈더샵,서울특별시,송파구,장지동,1171010900
A10027551,서강스카이빌1차아파트,서울특별시,은평구,응암동,1138010700
A10027432,서울 왕십리 KCC스위첸아파트,서울특별시,성동구,하왕십리동,1120010200
A10027101,휘경현대아파트,서울특별시,동대문구,휘경동,1123010900
A10027461,힐스테이트 송파위례아파트,서울특별시,송파구,장지동,1171010900
A10027425,이태원주공아파트,서울특별시,용산구,이태원동,1117013000
A10027319,도곡한라비발디아파트,서울특별시,강남구,도곡동,1168011800
A10027371,마곡엠밸리11단지,서울특별시,강서구,마곡동,1150010500
A10027817,DMC파크뷰자이아파트,서울특별시,서대문구,남가좌동,1141012000
A10027023,문래우정아파트,서울특별시,영등포구,문래동3가,1156012100
A10026922,래미안용산아파트,서울특별시,용산구,한강로2가,1117012500
A10027073,래미안에스티움,서울특별시,영등포구,신길동,1156013200
A10026972,서초동 아이파크,서울특별시,서초구,서초동,1165010800
A10027474,역삼자이아파트,서울특별시,강남구,역삼동,1168010100
A10027495,이수자이 주상복합,서울특별시,동작구,사당동,1159010700
A10027585,방배3차 현대 홈 타운 아파트,서울특별시,서초구,방배동,1165010100
A10027019,상암DMC엘가,서울특별시,서대문구,남가좌동,1141012000
A10025846,래미안베라힐즈아파트,서울특별시,은평구,녹번동,1138010200
A10026399,강변아이파크아파트,서울특별시,광진구,자양동,1121510500
A10026340,서초롯데캐슬84아파트,서울특별시,서초구,서초동,1165010800
A10026207,서울숲리버뷰자이아파트,서울특별시,성동구,행당동,1120010700
A10027136,도봉숲 아뜨리움,서울특별시,도봉구,도봉동,1132010800
A10026779,답십리한화아파트,서울특별시,동대문구,답십리동,1123010500
A10026946,경희궁자이1단지(임대아파트),서울특별시,종로구,행촌동,1111018100
A10026370,e편한세상신촌아파트,서울특별시,서대문구,북아현동,1141011000
A10026322,이문KCC웰츠타워,서울특별시,동대문구,이문동,1123011000
A10026182,신미아파트,서울특별시,영등포구,신길동,1156013200
A10027558,강남효성해링턴코트,서울특별시,강남구,세곡동,1168011100
A10026279,방학금광포란재아파트,서울특별시,도봉구,방학동,1132010600
A10026024,독산라이프아파트,서울특별시,금천구,독산동,1154510200
A10026873,극동강변아파트,서울특별시,동작구,본동,1159010400
A10027568,불광에스에이치빌,서울특별시,은평구,불광동,1138010300
A10026046,청광플러스원 아파트,서울특별시,중랑구,중화동,1126010300
A10026023,목동롯데캐슬 마에스트로,서울특별시,양천구,목동,1147010200
A13480803,길동현대아파트,서울특별시,강동구,길동,1174010500
A10027681,홍제금호어울림아파트,서울특별시,서대문구,홍제동,1141011100
A10027439,래미안 신반포팰리스,서울특별시,서초구,잠원동,1165010600
A10026761,H하우스 대림 뉴스테이,서울특별시,영등포구,대림동,1156013300
A10026729,천왕연지마을1단지 아파트,서울특별시,구로구,천왕동,1153011100
A10026227,아크로리버뷰 신반포 ,서울특별시,서초구,잠원동,1165010600
A10027205,아크로리버파크,서울특별시,서초구,반포동,1165010700
A10025855,e편한세상화랑대아파트  ,서울특별시,중랑구,묵동,1126010400
A10026162,상록타워 아파트,서울특별시,광진구,광장동,1121510400
A10026154,디오슈페리움1차,서울특별시,서초구,방배동,1165010100
A10027541,강서쌍용예가아파트,서울특별시,강서구,염창동,1150010100
A10026801,브라운스톤 영등포,서울특별시,영등포구,영등포동7가,1156010800
A10027638,강일리버파크11단지,서울특별시,강동구,강일동,1174011000
A10025767,홍제센트럴아이파크,서울특별시,서대문구,홍제동,1141011100
A10026797,당산롯데캐슬프레스티지 아파트,서울특별시,영등포구,당산동4가,1156011400
A10026342,라인아파트,서울특별시,서초구,반포동,1165010700
A10026816,아크로타워스퀘어,서울특별시,영등포구,영등포동7가,1156010800
A10026376,은평뉴타운 한화꿈에그린,서울특별시,은평구,진관동,1138011400
A10025755,청담신동아아파트,서울특별시,강남구,청담동,1168010400
A10025980,방원예뜨랑아파트,서울특별시,양천구,신월동,1147010300
A13178102,경원,서울특별시,중랑구,신내동,1126010600
A13484201,성내1차e-편한세상,서울특별시,강동구,성내동,1174010800
A13186502,신내우남푸르미아,서울특별시,중랑구,신내동,1126010600
A13177702,면목두원,서울특별시,중랑구,면목동,1126010100
A10026183,용산지오베르크,서울특별시,용산구,문배동,1117012200
A10027687,마곡힐스테이트,서울특별시,강서구,마곡동,1150010500
A10027553,위례2차아이파크아파트,서울특별시,송파구,장지동,1171010900
A10026571,꿈의숲코오롱하늘채아파트,서울특별시,성북구,장위동,1129013800
A10027189,보문파크뷰자이아파트,서울특별시,성북구,보문동6가,1129012800
A10026604,북한산 더샵,서울특별시,서대문구,홍은동,1141011800
A10027493,덕영드림아파트 ,서울특별시,구로구,구로동,1153010200
A10026147,신설동 지웰홈스,서울특별시,동대문구,신설동,1123010100
A10026004,신반포자이아파트,서울특별시,서초구,잠원동,1165010600
A10026362,송파호반베르디움더퍼스트,서울특별시,송파구,오금동,1171011200
A10026626,금천롯데캐슬골드파크2차,서울특별시,금천구,독산동,1154510200
A13812001,마천금호어울림2차,서울특별시,송파구,마천동,1171011400
A10026748,옥수파크힐스아파트,서울특별시,성동구,옥수동,1120011300
A10026299,래미안로이파크아파트,서울특별시,동작구,사당동,1159010700
A10026879,마곡13단지 힐스테이트마스터 아파트,서울특별시,강서구,마곡동,1150010500
A10027512,문래유원아파트,서울특별시,영등포구,문래동6가,1156012400
A10025703,삼형그레이스빌아파트,서울특별시,강서구,등촌동,1150010200
A10027507,한국현대아파트,서울특별시,구로구,구로동,1153010200
A10026924,대치SK VIEW,서울특별시,강남구,대치동,1168010600
A10026717,마천동신동아아파트,서울특별시,송파구,마천동,1171011400
A12175203,마포래미안푸르지오,서울특별시,마포구,아현동,1144010100
A10026411,래미안서초에스티지에스아파트,서울특별시,서초구,서초동,1165010800
A10026947,꿈의숲롯데캐슬아파트,서울특별시,강북구,미아동,1130510100
A10026900,왕십리 자이 아파트,서울특별시,성동구,하왕십리동,1120010200
A10026856,신동아 타워 아파트,서울특별시,도봉구,방학동,1132010600
A13510007,청담자이,서울특별시,강남구,청담동,1168010400
A10026337,래미안서초7차아파트,서울특별시,서초구,서초동,1165010800
A12185001,성사1차 풍림아파트,서울특별시,마포구,성산동,1144012500
A10026232,래미안미드카운티,서울특별시,동대문구,답십리동,1123010500
A10026002,삼환고덕아파트,서울특별시,강동구,명일동,1174010100
A10027684,당산브라운스톤아파트,서울특별시,영등포구,당산동4가,1156011400
A10027274,동대문푸르지오시티,서울특별시,동대문구,용두동,1123010200
A10026719,아스테리움용산,서울특별시,용산구,한강로2가,1117012500
A10026175,쌍문염광아파트,서울특별시,도봉구,쌍문동,1132010500
A10025665,삼익1차플라주아파트,서울특별시,양천구,신월동,1147010300
A10026317,서초한일아파트,서울특별시,서초구,서초동,1165010800
A10026039,천왕이펜하우스8단지,서울특별시,구로구,천왕동,1153011100
A10026109,창동서울가든아파트,서울특별시,도봉구,창동,1132010700
A10026104,힐스테이트청계,서울특별시,동대문구,답십리동,1123010500
A10027714,래미안 웰스트림,서울특별시,마포구,현석동,1144011200
A10027016,방배자이아파트,서울특별시,서초구,방배동,1165010100
A12012201,DMC래미안클라시스,서울특별시,서대문구,남가좌동,1141012000
A10027547,애필리움아파트,서울특별시,은평구,응암동,1138010700
A10025927,방배아트자이,서울특별시,서초구,방배동,1165010100
A10025976,DMC센트럴아이파크 ,서울특별시,서대문구,남가좌동,1141012000
A10025969,증산월드빌아파트,서울특별시,은평구,증산동,1138011000
A15704001,염창2차한화꿈에그린,서울특별시,강서구,염창동,1150010100
A10026910,관악우정하이비전아파트 1단지,서울특별시,관악구,신림동,1162010200
A10026852,래미안강동팰리스,서울특별시,강동구,천호동,1174010900
A10026311,순영웰라이빌아파트,서울특별시,영등포구,영등포동,1156010100
A10026989,대림아르빌아파트,서울특별시,구로구,구로동,1153010200
A10025823,래미안개포루체하임,서울특별시,강남구,일원동,1168011400
A10026289,공릉2차신도브래뉴아파트,서울특별시,노원구,공릉동,1135010300
A10026180,롯데캐슬노블레스,서울특별시,동대문구,전농동,1123010400
A10025913,가산지웰에스테이트2차,서울특별시,금천구,가산동,1154510100
A10025753,길음뉴타운11단지 롯데캐슬골든힐스아파트,서울특별시,성북구,길음동,1129013400
A10026470,힐스테이트서울숲리버,서울특별시,성동구,금호동4가,1120011200
A10026403,고덕숲아이파크아파트,서울특별시,강동구,상일동,1174010300
A10025898,용산kcc스위첸,서울특별시,용산구,효창동,1117011900
A10025685,서울숲행당푸르지오(임대),서울특별시,성동구,행당동,1120010700
A10027089,현대썬앤빌청계,서울특별시,동대문구,답십리동,1123010500
A10025641,마곡보타닉경남아너스빌아파트,서울특별시,강서구,방화동,1150010900
A13071302,래미안크레시티,서울특별시,동대문구,전농동,1123010400
A10025743,희훈타워빌,서울특별시,구로구,구로동,1153010200
A10025638,래미안길음센터피스,서울특별시,성북구,길음동,1129013400
A10027454,왕십리모노퍼스,서울특별시,성동구,하왕십리동,1120010200
A10027572,마포영화블렌하임,서울특별시,마포구,망원동,1144012300
A10027354,올림픽파크한양수자인,서울특별시,강동구,성내동,1174010800
A10026350,삼성동센트럴아이파크,서울특별시,강남구,삼성동,1168010500
A10026061,불광삼익아파트,서울특별시,은평구,불광동,1138010300
A10025633,마포 웨스트리버 태영데시앙아파트,서울특별시,마포구,창전동,1144011400
A10027614,상도 휴엔하임 도시형생횔주택,서울특별시,동작구,상도동,1159010200
A10027301,마포한강2차푸르지오,서울특별시,마포구,합정동,1144012200
A10026517,서울역한라비발디센트럴아파트,서울특별시,중구,만리동2가,1114017400
A10025729,목동파크자이아파트,서울특별시,양천구,신정동,1147010100
A10026977,월드메르디앙아파트,서울특별시,서초구,잠원동,1165010600
A10025686,행당두산위브아파트(임대),서울특별시,성동구,행당동,1120010700
A10025677,은뜨락행복주택,서울특별시,은평구,진관동,1138011400
A10027346,파크하비오푸르지오아파트,서울특별시,송파구,문정동,1171010800
A10026418,e편한세상금호파크힐스,서울특별시,성동구,금호동1가,1120010900
A10026187,백운한비치1차아파트,서울특별시,금천구,시흥동,1154510300
A12071004,진흥,서울특별시,서대문구,홍은동,1141011800
A10027522,우림필유아파트,서울특별시,구로구,오류동,1153010800
A10027452,마곡엠밸리10단지 아파트,서울특별시,강서구,마곡동,1150010500
A10026195,강변그대가갤럭시아파트,서울특별시,강동구,천호동,1174010900
A10026036,마포자이 더 센트리지 아파트,서울특별시,마포구,염리동,1144010900
A10025867,흑석롯데캐슬에듀포레,서울특별시,동작구,흑석동,1159010500
A10027622,노원프레미어스엠코,서울특별시,노원구,공릉동,1135010300
A10027601,중계센트럴파크아파트,서울특별시,노원구,상계동,1135010500
A10026197,문래동모아미래도아파트,서울특별시,영등포구,문래동5가,1156012300
A10025710,경희궁 롯데캐슬아파트,서울특별시,종로구,무악동,1111018700
A10025672,마포 보성 아파트,서울특별시,마포구,마포동,1144010700
A10025675,래미안블레스티지,서울특별시,강남구,개포동,1168010300
A10025626,한강로쌍용스윗닷홈아파트,서울특별시,용산구,한강로3가,1117012800
A13594402,개포한신,서울특별시,강남구,일원동,1168011400
A10026988,트리마제,서울특별시,성동구,성수동1가,1120011400
A15076801,금호어울림,서울특별시,영등포구,문래동3가,1156012100
A10026025,사당갑을명가아파트,서울특별시,동작구,사당동,1159010700
A10026457,양평역미소지움아파트,서울특별시,영등포구,양평동3가,1156012700
A10025616,가양보람아파트,서울특별시,강서구,가양동,1150010400
A10025615,경남아너스빌 101동 아파트,서울특별시,서초구,서초동,1165010800
A10025614,항동하버라인3단지,서울특별시,구로구,항동,1153011200
A10027221,래미안 서초에스티지,서울특별시,서초구,서초동,1165010800
A10025836,힐스테이트녹번,서울특별시,은평구,녹번동,1138010200
A15301001,진도1차,서울특별시,금천구,독산동,1154510200
A10025915,목동동구햇살아파트,서울특별시,양천구,목동,1147010200
A10026209,올림픽베어스타운,서울특별시,송파구,방이동,1171011100
A10027498,가야아파트,서울특별시,중랑구,망우동,1126010500
A13985907,중계염광아름빌,서울특별시,노원구,중계동,1135010600
A13993503,하계한신,서울특별시,노원구,하계동,1135010400
A15807001,경남아너스빌,서울특별시,양천구,신정동,1147010100
A10025573,세림리오빌아파트,서울특별시,광진구,구의동,1121510300
A10025157,신도브래뉴신월2차아파트,서울특별시,양천구,신월동,1147010300
A13006003,제기이수브라운스톤,서울특별시,동대문구,제기동,1123010300
A13204505,창동상아2차,서울특별시,도봉구,창동,1132010700
A10024913,반포센트럴자이아파트,서울특별시,서초구,잠원동,1165010600
A10025422,이편한세상 서울대입구2단지,서울특별시,관악구,봉천동,1162010100
A10024932,e편한세상 강동에코포레 아파트,서울특별시,강동구,길동,1174010500
A15603008,힐스테이트상도프레스티지,서울특별시,동작구,상도동,1159010200
A10025600,e편한세상 염창,서울특별시,강서구,염창동,1150010100
A10024965,ym프라젠스파아파트,서울특별시,광진구,자양동,1121510500
A10024927,구로항동제일풍경채포레스트,서울특별시,구로구,항동,1153011200
A10024894,이편한세상서울대입구2차(5단지),서울특별시,관악구,봉천동,1162010100
A10025137,신내글로리움아파트,서울특별시,중랑구,신내동,1126010600
A15784008,등촌서광,서울특별시,강서구,등촌동,1150010200
A10024892,금강아미움아파트,서울특별시,동대문구,장안동,1123010600
A13775101,신동아아파트,서울특별시,서초구,서초동,1165010800
A10025259,석계역 한일노벨리아시티,서울특별시,성북구,장위동,1129013800
A10027569,북한산힐스테이트3차 3207동(임대동)아파트,서울특별시,은평구,불광동,1138010300
A10024974,신촌숲 아이파크 아파트,서울특별시,마포구,신수동,1144011100
A15609007,이수역리가,서울특별시,동작구,사당동,1159010700
A10025263,고덕 그라시움 아파트,서울특별시,강동구,고덕동,1174010200
A10025192,나인원 한남,서울특별시,용산구,한남동,1117013100
A13703019,롯데캐슬갤럭시2차,서울특별시,서초구,잠원동,1165010600
A10025460,잠실아르누보팰리스,서울특별시,송파구,송파동,1171010400
A10025204,수서하니움,서울특별시,강남구,수서동,1168011500
A11077101,창신쌍용아파트2단지,서울특별시,종로구,창신동,1111017400
A10025302,항동하버라인4단지아파트,서울특별시,구로구,항동,1153011200
A10024925,문래롯데캐슬아파트,서울특별시,영등포구,문래동6가,1156012400
A13971502,상계주공3단지,서울특별시,노원구,상계동,1135010500
A10025375,지웰홈스 서초,서울특별시,서초구,서초동,1165010800
A10027901,용산 KCC 웰츠타워,서울특별시,용산구,문배동,1117012200
A10025245,래미안퍼스트하이,서울특별시,성북구,장위동,1129013800
A10025564,항동 하버라인9단지,서울특별시,구로구,항동,1153011200
A10025509,동대문서희스타힐스,서울특별시,동대문구,장안동,1123010600
A13590204,압구정한양아파트제2단지,서울특별시,강남구,압구정동,1168011000
A10027090,마포센트럴아이파크,서울특별시,마포구,아현동,1144010100
A15676701,신동아리버파크제2관리사무소,서울특별시,동작구,노량진동,1159010100
A13281802,도봉럭키,서울특별시,도봉구,도봉동,1132010800
A13587603,선릉에클라트,서울특별시,강남구,삼성동,1168010500
A10025174,힐스테이트강동리버뷰,서울특별시,강동구,암사동,1174010700
A13880701,가락미륭아파트,서울특별시,송파구,가락동,1171010700
A13987301,하계학여울청구B,서울특별시,노원구,하계동,1135010400
A12283601,녹번현대2차,서울특별시,은평구,녹번동,1138010200
A14386109,자양우성2차,서울특별시,광진구,자양동,1121510500
A10024987,서초동원베네스트아파트,서울특별시,서초구,서초동,1165010800
A12071104,연희자이엘라,서울특별시,서대문구,연희동,1141011700
A10025511,남현동 흥화 브라운아파트,서울특별시,관악구,남현동,1162010300
A10025397,신내우디안4단지 아파트,서울특별시,중랑구,신내동,1126010600
A15178201,관악벽산블루밍,서울특별시,관악구,봉천동,1162010100
A13410003,강일리버파크2단지,서울특별시,강동구,강일동,1174011000
A10025310,백련산 sk뷰 아이파크,서울특별시,은평구,응암동,1138010700
A10025850,헬리오시티아파트,서울특별시,송파구,가락동,1171010700
A13123002,중랑숲Liga아파트,서울특별시,중랑구,망우동,1126010500
A12204004,북한산힐스테이트3차,서울특별시,은평구,불광동,1138010300
A13981606,상계대동아파트,서울특별시,노원구,상계동,1135010500
A13379001,금호자이2차,서울특별시,성동구,금호동3가,1120011100
A10027162,포레스트힐시티,서울특별시,종로구,효제동,1111016200
A10025415,래미안솔베뉴,서울특별시,강동구,명일동,1174010100
A13816001,가락현대5차,서울특별시,송파구,가락동,1171010700
A10026940,경희궁자이4단지주상복합,서울특별시,종로구,교남동,1111017600
A13790004,우면대림,서울특별시,서초구,우면동,1165010300
A10025447,경남아파트,서울특별시,금천구,시흥동,1154510300
A12109002,염리삼성래미안,서울특별시,마포구,염리동,1144010900
A10025187,묵동리본타워,서울특별시,중랑구,묵동,1126010400
A10025175,신동아갯마을아파트,서울특별시,동작구,동작동,1159010600
A13822004,잠실엘스아파트 ,서울특별시,송파구,잠실동,1171010100
A10025122,지밸리소홈,서울특별시,영등포구,대림동,1156013300
A13527004,도곡삼성,서울특별시,강남구,도곡동,1168011800
A10025822,연희파크푸르지오 아파트 ,서울특별시,서대문구,연희동,1141011700
A10025159,한양수자인사가정파크아파트,서울특별시,중랑구,면목동,1126010100
A10025112,고덕롯데캐슬베네루체,서울특별시,강동구,상일동,1174010300
A13980803,공릉1동삼익,서울특별시,노원구,공릉동,1135010300
A15885307,신정청구아파트,서울특별시,양천구,신정동,1147010100
A10025166,북한산 두산 위브,서울특별시,서대문구,홍은동,1141011800
A10025410,휘경SK뷰아파트,서울특별시,동대문구,휘경동,1123010900
A10025097,월계센트럴아이파크아파트,서울특별시,노원구,월계동,1135010200
A10025659,응암역효성해링턴플레이스,서울특별시,은평구,신사동,1138010900
A13778214,서초네이처힐가든,서울특별시,서초구,우면동,1165010300
A10025533,용산롯데캐슬센터포레아파트,서울특별시,용산구,효창동,1117011900
A10025241,꿈의숲 해링턴 플레이스 아파트,서울특별시,강북구,미아동,1130510100
A10025049,염창동길훈아파트,서울특별시,강서구,염창동,1150010100
A10025034,오목교벽산블루밍아파트,서울특별시,영등포구,양평동2가,1156012600
A14082302,보광삼성리버빌,서울특별시,용산구,보광동,1117013600
A10025345,목동현대파크빌,서울특별시,양천구,목동,1147010200
A13079402,이문현대임대,서울특별시,동대문구,이문동,1123011000
A10025372,신당KCC스위첸아파트,서울특별시,중구,신당동,1114016200
A10024942,방배서리풀그랑블아파트,서울특별시,서초구,방배동,1165010100
A10025550,두산힐스빌아파트,서울특별시,서초구,반포동,1165010700
A10025130,DMC에코자이,서울특별시,서대문구,남가좌동,1141012000
A10025003,마포그랑자이아파트,서울특별시,마포구,대흥동,1144010800
A10025386,항동하버라인 11단지 아파트,서울특별시,구로구,항동,1153011200
A13276416,방학우성1차,서울특별시,도봉구,방학동,1132010600
A13484004,SK허브진주상복합아파트,서울특별시,강동구,성내동,1174010800
A10025404,아스하임4차,서울특별시,광진구,화양동,1121510700
A10025504,숲속마을 신동아파밀리에 아파트 ,서울특별시,동작구,신대방동,1159010900
A13994501,공릉현대성우,서울특별시,노원구,공릉동,1135010300
A10024972,길동신동아아파트,서울특별시,강동구,길동,1174010500
A15672001,보라매우성,서울특별시,동작구,신대방동,1159010900
